MinTemp,MaxTemp,Rainfall,WindSpeed9am,Humidity9am,RainToday
8,24.3,0,6,68,No
14,26.9,3.6,4,80,Yes
13.7,23.4,3.6,6,82,Yes
13.3,15.5,39.8,30,62,Yes
7.6,16.1,2.8,20,68,Yes
6.2,16.9,0,20,70,No
6.1,18.2,0.2,19,63,No
8.3,17,0,11,65,No
8.8,19.5,0,19,70,No
8.4,22.8,16.2,7,82,Yes
9.1,25.2,0,6,74,No
8.5,27.3,0.2,2,54,No
10.1,27.9,0,6,62,No
12.1,30.9,0,7,67,No
10.1,31.2,0,6,45,No
12.4,32.1,0,7,70,No
13.8,31.2,0,6,72,No
11.7,30,1.2,6,59,Yes
12.4,32.3,0.6,4,60,No
15.6,33.4,0,2,61,No
15.3,33.4,0,2,60,No
16.4,19.4,0.4,6,88,No
12.8,18.5,25.8,13,91,Yes
12,24.3,0.4,6,74,No
15.4,28.4,0,9,85,No
15.6,26.9,0,6,65,No
13.3,22.2,0.2,20,70,No
12.9,28,0,6,61,No
15.1,24.3,0,7,69,No
13.6,24.1,0.4,6,83,No
15.1,20.4,22.6,6,82,Yes
11.6,26.3,4.2,6,66,Yes
16.6,24.2,0.2,13,72,No
13.3,26.5,6.6,20,74,Yes
14.5,21.8,0,11,69,No
16.3,26.8,0,13,78,No
17.2,25.8,0,6,70,No
16.5,28.2,4,7,76,Yes
15,29.4,0,9,78,No
14.9,24.8,0,11,58,No
11.8,18.5,0.6,9,60,No
11.7,21.5,0,15,66,No
9.6,20.3,0,22,70,No
8.9,27.1,0,6,63,No
10.1,29.9,0,2,63,No
15.5,21.1,5.4,6,93,Yes
10.8,21.7,1.4,13,59,Yes
7.5,20.9,0,13,61,No
12.8,21,0,7,72,No
12.6,23.1,3.4,4,97,Yes
14.8,29.5,6.4,6,81,Yes
19.9,22,11,41,92,Yes
9.2,20.4,17.4,9,59,Yes
12.4,24.4,0,7,69,No
11.3,21.7,3.4,11,67,Yes
9.8,26.3,0,6,63,No
14.3,26.7,0,7,68,No
15.1,28.3,14.4,6,73,Yes
14.4,31.6,0,6,65,No
15.4,35,0,6,55,No
13.8,33.5,0,7,44,No
13.6,34.2,0,2,50,No
14.3,35,0,2,43,No
15.9,23.4,0,20,69,No
16.7,25.3,0,24,56,No
12.1,27.5,0,7,69,No
14.3,34.1,0,6,77,No
16.5,33.9,0,11,60,No
16.5,30.3,0,7,77,No
17.5,29.9,0,13,74,No
14.7,34.2,0,6,64,No
17.5,35.8,0,6,56,No
20.9,35.7,0,4,61,No
17,33.8,2,6,65,Yes
16,22.8,0,13,70,No
15.4,33.8,0,7,70,No
17.9,33.2,0,15,58,No
15.2,25.1,4.8,20,62,Yes
15.1,20.4,0,17,63,No
15.3,19.6,18.8,9,92,Yes
17.2,24.7,12.2,19,80,Yes
15.9,19.9,0.8,17,73,No
10,22.5,0,11,55,No
9.9,24.4,0,7,60,No
10.3,27.8,0,6,64,No
15.4,25.7,0,9,67,No
12.7,28.8,0,4,70,No
13.2,31.3,0,4,71,No
15.3,33.2,0,4,60,No
17.9,33.9,0,6,72,No
18,34.9,0,6,68,No
17.6,27.8,5.2,13,66,Yes
16,23.8,2.2,11,73,Yes
14.9,28.8,0,7,71,No
17.1,29.6,0,9,67,No
18.2,22.6,1.8,7,92,Yes
16.8,22.8,9,7,88,Yes
13.6,27.4,1,6,77,No
14.5,24.2,0,11,76,No
12.4,19.9,16.2,7,75,Yes
10.4,20.9,0,15,65,No
9.1,23.1,0,17,66,No
8.9,26,0,7,74,No
14.5,24.2,4.4,9,95,Yes
12.6,18.2,11,13,81,Yes
8.6,24.2,0.2,11,63,No
10.8,25.2,0,7,69,No
11.2,26.1,0,7,71,No
12.1,24.1,0,9,64,No
10.8,25.8,0,7,72,No
11.4,27.1,0,6,69,No
12,28.9,0,2,78,No
16.3,24.8,1.8,4,88,Yes
12.7,28.6,6.6,19,78,Yes
12.7,25.1,0,20,57,No
12,23.8,0,15,54,No
11.5,25.9,0,9,70,No
13,28.2,0,4,74,No
11.7,27.6,0,10,74,No
14.8,17.3,0,13,74,No
7.7,18.4,10.4,24,58,Yes
4.4,21.8,0,15,60,No
7.4,24.4,0,7,65,No
8.3,27.3,0,6,78,No
10.1,28.2,0,6,72,No
12,27.6,0,7,69,No
12.9,31.8,0,6,76,No
10.8,29.2,0,7,56,No
9.5,27.4,3,6,79,Yes
12.1,27.8,0,7,66,No
12.5,31.7,0,6,74,No
13.9,34.7,0,11,50,No
13.3,31.7,0.2,6,80,No
13.2,33.1,0,7,91,No
12.3,33.8,0,9,57,No
13.8,35.2,0,7,47,No
11.3,32.3,0,4,44,No
11.7,30.2,0,9,73,No
12.5,29.9,0,0,76,No
15.1,26.2,0,4,59,No
11.5,29.3,0,0,76,No
13,14.8,0,9,77,No
11.6,19.6,0,6,71,No
12.8,24.9,0,6,76,No
15.5,22.4,0.6,6,89,No
13.1,17.4,6.4,11,94,Yes
12.6,20.2,19.8,17,76,Yes
4.4,18.3,0,7,80,No
4.4,18.2,0,7,78,No
7.1,18.5,0,9,90,No
4.2,18.9,0,6,60,No
9.6,18.8,0,19,54,No
3.5,21.8,0,7,72,No
5.3,23.3,0,2,90,No
7,14.3,2.6,26,68,Yes
0.4,18.9,0,6,77,No
3.2,21.4,0,7,76,No
5.9,21.8,0,7,70,No
8.1,20.5,0,11,66,No
6.9,18.9,0,15,68,No
5.6,19.5,0,9,69,No
7.2,22.9,0,4,82,No
7.1,23.4,0,2,72,No
6.1,24.1,0,6,75,No
7.1,19.8,2,13,96,Yes
5.6,18,5.2,9,70,Yes
5.4,20.7,0,7,66,No
6.3,19.3,0,9,65,No
5.3,21,0,7,77,No
7.9,19.7,0,17,58,No
8.4,16.1,0,13,69,No
8.1,18.7,0,11,66,No
2.4,20.6,0,9,77,No
5.6,18.9,0,13,79,No
7.5,19,0,0,74,No
2.5,21.2,0,7,82,No
5,20.9,0,0,84,No
3.8,21.7,0.2,2,99,No
7.9,18.7,0,26,68,No
4.3,11.3,7.2,26,75,Yes
-2.1,13.8,0.2,0,69,No
-1.8,14.8,0,2,80,No
3.8,13.8,0,6,67,No
2.1,17.3,0,6,81,No
0.5,17.1,0,6,74,No
-0.9,16.7,0,2,76,No
0.4,19,0,2,76,No
7.5,16.8,0,7,70,No
8.3,17.6,0,17,73,No
-0.2,18.1,0,0,80,No
0.1,21,0,2,78,No
1.5,20.9,0,2,80,No
8.3,17.4,0,6,80,No
9.4,19.2,0,4,73,No
1.3,19,0,7,87,No
2.2,18.6,0,10,84,No
-0.4,17.9,0,2,80,No
4.5,16,1.8,9,88,Yes
7.9,12.3,1,30,68,No
4.3,14.1,0.8,13,71,No
-2.7,18.1,0,0,85,No
0.3,17,0,6,99,No
3.8,17.4,0,2,81,No
2.4,14.7,0,7,74,No
1.2,14.8,0,11,81,No
1.2,14.5,0,6,74,No
-0.3,17.5,0,6,81,No
4.7,18.5,3.8,6,99,Yes
4.9,18.1,5.2,0,93,Yes
1.4,16.8,0,0,91,No
2.2,17.5,0.2,7,92,No
-0.1,18,0,2,83,No
-0.9,18.5,0,0,84,No
0.6,14,0,26,99,No
4.6,15.7,0,6,85,No
9.8,14.4,0.8,9,99,No
10.6,15.1,3.8,9,78,Yes
7.8,15.1,0,6,84,No
4.4,16.7,0,11,74,No
-0.2,15.5,0,4,86,No
4.3,14.5,0,6,76,No
7.4,16.3,0,6,75,No
8.6,13.7,6.2,2,97,Yes
10.2,15,4.8,22,90,Yes
7.3,16.4,0.2,15,86,No
8.7,13,0.6,19,82,No
1,11.8,0,7,73,No
2.1,14.7,0,24,72,No
6.4,16.9,0,17,78,No
5.4,15.5,0,7,80,No
0.4,15.5,0,6,97,No
4,15.9,0,6,95,No
8.4,11.7,4.8,6,91,Yes
0.4,13.9,0.6,6,99,No
4.2,14,0,9,74,No
0.9,12.9,0,7,92,No
0.8,13,0,2,95,No
4.3,12.6,0,0,75,No
6.3,11.8,0,20,81,No
3.5,14.3,0,7,71,No
-1.5,14.8,0,6,90,No
1.2,16,0,6,84,No
0.5,15.4,0,22,53,No
5.3,11.7,2,33,73,Yes
6.6,13.1,0.2,31,62,No
-1.6,11.5,0,7,82,No
-3.1,12,0,4,80,No
-0.1,14.2,0,20,81,No
-0.6,14,0,2,86,No
3,11.1,0.8,0,99,No
2.9,9.5,16.8,0,93,Yes
-1.3,8.8,0,9,95,No
1.8,8.7,0,31,83,No
2.9,8.4,1.6,20,76,Yes
-2.6,11.1,0.2,2,87,No
0.5,11,0,0,92,No
2.7,16.5,0,7,93,No
-1.7,13.6,0,14,83,No
-0.9,12.8,0.2,6,99,No
-1.8,11.5,0,0,99,No
1.3,10.6,0,24,75,No
2.4,11.6,1.2,15,71,Yes
-1.1,11,0.2,0,92,No
2.3,11.6,19.2,26,78,Yes
-2.2,11.6,0,2,68,No
-3.5,11.2,0,6,76,No
-1,12.2,0,7,82,No
-2.1,12.9,0,7,92,No
-2,11.3,0.2,2,88,No
-2.3,9.7,0,6,92,No
-1.6,10.7,1.4,28,74,Yes
0.8,12.2,0,19,69,No
-2.8,12.2,0,0,84,No
-2.8,14.1,0,0,81,No
3,9.7,1,19,64,No
4.4,11.5,6.6,28,67,Yes
2.3,12.8,0,4,70,No
-2,12.3,0,4,81,No
-1.9,10.9,0,0,78,No
4.8,14.1,4,30,67,Yes
-0.6,11.1,0,7,89,No
3.1,12.5,1.2,6,69,Yes
-2.9,9.6,0,6,76,No
-3.5,7.6,0.4,30,92,No
-0.3,9.3,0.4,9,72,No
0.1,10.4,0,22,69,No
2.3,12.2,0,20,58,No
2.1,10.7,0,28,59,No
4.6,14.7,0,28,54,No
3.7,14.2,0,24,52,No
-1.3,11.6,0,9,59,No
-3.4,12.5,0,7,89,No
-5.3,13.1,0,4,94,No
0,14,0,13,60,No
2.4,14.1,0,15,50,No
-0.6,12.2,0,15,66,No
2.3,11.6,0,30,49,No
-3.7,14.4,0,2,64,No
-0.9,14.2,0,7,82,No
-1.5,17.3,0,0,77,No
-3.3,15.1,0,9,57,No
-0.1,14.7,0,6,60,No
-0.2,16.2,0,0,74,No
0.5,16.3,0,4,81,No
6.1,17.2,4,24,89,Yes
4.1,14.8,7.4,20,60,Yes
0.1,16.7,0,2,69,No
3.2,12.1,0,17,69,No
5.4,11.3,0.2,11,65,No
5.8,12.4,0,13,79,No
6.3,16.1,0,19,63,No
-0.9,16.7,0,7,84,No
0.2,15.5,1,0,79,No
-3.7,14.7,0,9,53,No
-2.7,15.2,0,6,62,No
-2.5,16.6,0,4,68,No
-0.5,21.6,0,9,44,No
9,25.5,0,20,47,No
13.1,19.4,9.8,39,71,Yes
8.7,19.7,1.6,31,63,Yes
3.9,13.2,3.4,26,53,Yes
0.7,14.1,0,6,69,No
1.1,18,0,2,82,No
5.1,23.3,0,9,54,No
7.5,23.3,0,15,46,No
4.7,19.5,0,13,42,No
3.2,21.9,0,2,51,No
7.8,16.2,17.4,15,73,Yes
2.4,17.3,0,4,67,No
3.2,18.7,0,4,70,No
2.5,20.9,0,20,48,No
6.5,25.7,0,2,62,No
14.4,24.3,0,31,36,No
4.9,18.9,0,6,41,No
2.3,16.8,0,6,52,No
1.4,20.6,0,6,56,No
5.6,27.6,0,15,44,No
16.8,28.9,0,31,44,No
14.4,20.7,7.6,20,94,Yes
10.3,21.3,3,7,79,Yes
11.2,18,0,24,65,No
0.3,16,8.2,11,68,Yes
0.5,17.9,0,2,72,No
0.5,20,0,2,69,No
4.6,22,0,6,82,No
8.2,22.4,0,2,70,No
4.5,23.9,0,4,67,No
6.7,26.1,0,6,56,No
11.9,21.1,13.2,7,82,Yes
9.2,19.6,0.6,4,71,No
4.4,21,0,2,73,No
5,24.1,0,0,73,No
6.7,24.7,0,4,80,No
8.3,28.5,0,2,66,No
11.3,27.4,0.2,6,60,No
9,20.6,0,11,54,No
3.4,15,0.8,35,43,No
3.2,18,0,26,47,No
0.9,20.7,0,2,71,No
3.3,25.5,0,4,57,No
7.9,26.1,0,0,45,No
9,30.7,0,7,38,No
7.1,28.4,0,2,45,No
12.5,19.9,0,11,63,No
12.5,26.9,0,6,69,No
12.3,30.2,0,31,43,No
